location_code,location_name,admin1_code,admin1_name,event_type,events,fatalities,year,reference_period_start,reference_period_end,lon,lat
SDN,Sudan,SD-KH,Khartoum,Battles,5,9,2021,2021-01-01,2021-12-31,32.53,15.59
SDN,Sudan,SD-KH,Khartoum,Violence against civilians,5,19,2021,2021-01-01,2021-12-31,32.53,15.59
SDN,Sudan,SD-KH,Khartoum,Explosions/Remote violence,3,9,2021,2021-01-01,2021-12-31,32.53,15.59
SDN,Sudan,SD-KH,Khartoum,Riots,2,0,2021,2021-01-01,2021-12-31,32.53,15.59
SDN,Sudan,SD-KH,Khartoum,Protests,2,0,2021,2021-01-01,2021-12-31,32.53,15.59
SDN,Sudan,SD-GZ,Gezira,Battles,5,8,2021,2021-01-01,2021-12-31,33.43,14.38
SDN,Sudan,SD-GZ,Gezira,Violence against civilians,7,14,2021,2021-01-01,2021-12-31,33.43,14.38
SDN,Sudan,SD-GZ,Gezira,Explosions/Remote violence,3,13,2021,2021-01-01,2021-12-31,33.43,14.38
SDN,Sudan,SD-GZ,Gezira,Riots,2,0,2021,2021-01-01,2021-12-31,33.43,14.38
SDN,Sudan,SD-GZ,Gezira,Protests,2,0,2021,2021-01-01,2021-12-31,33.43,14.38
SDN,Sudan,SD-KA,Kassala,Battles,4,12,2021,2021-01-01,2021-12-31,36.4,15.45
SDN,Sudan,SD-KA,Kassala,Violence against civilians,4,5,2021,2021-01-01,2021-12-31,36.4,15.45
SDN,Sudan,SD-KA,Kassala,Explosions/Remote violence,2,8,2021,2021-01-01,2021-12-31,36.4,15.45
SDN,Sudan,SD-KA,Kassala,Riots,1,0,2021,2021-01-01,2021-12-31,36.4,15.45
SDN,Sudan,SD-KA,Kassala,Protests,1,0,2021,2021-01-01,2021-12-31,36.4,15.45
SDN,Sudan,SD-RS,Red Sea,Battles,3,3,2021,2021-01-01,2021-12-31,37.22,19.62
SDN,Sudan,SD-RS,Red Sea,Violence against civilians,4,10,2021,2021-01-01,2021-12-31,37.22,19.62
SDN,Sudan,SD-RS,Red Sea,Explosions/Remote violence,2,8,2021,2021-01-01,2021-12-31,37.22,19.62
SDN,Sudan,SD-RS,Red Sea,Riots,2,0,2021,2021-01-01,2021-12-31,37.22,19.62
SDN,Sudan,SD-RS,Red Sea,Protests,1,0,2021,2021-01-01,2021-12-31,37.22,19.62
SDN,Sudan,SD-NO,Northern,Battles,4,10,2021,2021-01-01,2021-12-31,30.35,19.17
SDN,Sudan,SD-NO,Northern,Violence against civilians,3,11,2021,2021-01-01,2021-12-31,30.35,19.17
SDN,Sudan,SD-NO,Northern,Explosions/Remote violence,3,4,2021,2021-01-01,2021-12-31,30.35,19.17
SDN,Sudan,SD-NO,Northern,Riots,1,0,2021,2021-01-01,2021-12-31,30.35,19.17
SDN,Sudan,SD-NO,Northern,Protests,2,0,2021,2021-01-01,2021-12-31,30.35,19.17
SDN,Sudan,SD-RV,River Nile,Battles,6,9,2021,2021-01-01,2021-12-31,33.43,17.61
SDN,Sudan,SD-RV,River Nile,Violence against civilians,5,10,2021,2021-01-01,2021-12-31,33.43,17.61
SDN,Sudan,SD-RV,River Nile,Explosions/Remote violence,4,10,2021,2021-01-01,2021-12-31,33.43,17.61
SDN,Sudan,SD-RV,River Nile,Riots,2,0,2021,2021-01-01,2021-12-31,33.43,17.61
SDN,Sudan,SD-RV,River Nile,Protests,1,0,2021,2021-01-01,2021-12-31,33.43,17.61
SDN,Sudan,SD-NB,North Darfur,Battles,13,14,2021,2021-01-01,2021-12-31,24.88,14.65
SDN,Sudan,SD-NB,North Darfur,Violence against civilians,12,22,2021,2021-01-01,2021-12-31,24.88,14.65
SDN,Sudan,SD-NB,North Darfur,Explosions/Remote violence,8,21,2021,2021-01-01,2021-12-31,24.88,14.65
SDN,Sudan,SD-NB,North Darfur,Riots,5,0,2021,2021-01-01,2021-12-31,24.88,14.65
SDN,Sudan,SD-NB,North Darfur,Protests,3,0,2021,2021-01-01,2021-12-31,24.88,14.65
SDN,Sudan,SD-SB,South Darfur,Battles,7,25,2021,2021-01-01,2021-12-31,24.88,11.5
SDN,Sudan,SD-SB,South Darfur,Violence against civilians,5,17,2021,2021-01-01,2021-12-31,24.88,11.5
SDN,Sudan,SD-SB,South Darfur,Explosions/Remote violence,6,22,2021,2021-01-01,2021-12-31,24.88,11.5
SDN,Sudan,SD-SB,South Darfur,Riots,3,0,2021,2021-01-01,2021-12-31,24.88,11.5
SDN,Sudan,SD-SB,South Darfur,Protests,4,1,2021,2021-01-01,2021-12-31,24.88,11.5
SDN,Sudan,SD-WB,West Darfur,Battles,7,17,2021,2021-01-01,2021-12-31,22.45,12.9
SDN,Sudan,SD-WB,West Darfur,Violence against civilians,10,39,2021,2021-01-01,2021-12-31,22.45,12.9
SDN,Sudan,SD-WB,West Darfur,Explosions/Remote violence,8,18,2021,2021-01-01,2021-12-31,22.45,12.9
SDN,Sudan,SD-WB,West Darfur,Riots,4,0,2021,2021-01-01,2021-12-31,22.45,12.9
SDN,Sudan,SD-WB,West Darfur,Protests,4,0,2021,2021-01-01,2021-12-31,22.45,12.9
SDN,Sudan,SD-CB,Central Darfur,Battles,7,16,2021,2021-01-01,2021-12-31,23.65,12.9
SDN,Sudan,SD-CB,Central Darfur,Violence against civilians,12,22,2021,2021-01-01,2021-12-31,23.65,12.9
SDN,Sudan,SD-CB,Central Darfur,Explosions/Remote violence,6,18,2021,2021-01-01,2021-12-31,23.65,12.9
SDN,Sudan,SD-CB,Central Darfur,Riots,5,1,2021,2021-01-01,2021-12-31,23.65,12.9
SDN,Sudan,SD-CB,Central Darfur,Protests,4,0,2021,2021-01-01,2021-12-31,23.65,12.9
SDN,Sudan,SD-EB,East Darfur,Battles,4,14,2021,2021-01-01,2021-12-31,25.95,11.45
SDN,Sudan,SD-EB,East Darfur,Violence against civilians,4,2,2021,2021-01-01,2021-12-31,25.95,11.45
SDN,Sudan,SD-EB,East Darfur,Explosions/Remote violence,1,3,2021,2021-01-01,2021-12-31,25.95,11.45
